tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,match_date,color,X,Y,Tableau X,Tableau Y,Radius,Stage Group,Result,Opponent,Point ID
2014-580,Australian Open,Hard,128,G,20140113,125,104745,1,,Rafael Nadal,L,185,ESP,27.613963039,1,13130,103819,6,,Roger Federer,R,185,SUI,32.4325804244,6,4355,7-6(4) 6-3 6-3,5,SF,144,3,1,86,56,41,22,15,1,2,8,1,105,69,45,18,15,10,14,2014-01-13,#a56bc5,559.77,320.67,559.77,379.33,9,Semi-Final / Final,Loss,Rafael Nadal,311
2014-520,Roland Garros,Clay,128,G,20140526,48,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,105041,,,Lukas Lacko,R,185,SVK,26.559890486,87,617,6-2 6-4 6-2,5,R128,84,7,1,61,44,39,13,13,0,0,3,5,91,57,32,18,13,6,11,2014-05-26,#aeb7c6,713.77,150.69,713.77,549.31,5.5,Early Rounds,Win,Lukas Lacko,312
2014-520,Roland Garros,Clay,128,G,20140526,88,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,106043,,Q,Diego Sebastian Schwartzman,R,,ARG,21.7741273101,109,533,6-3 6-4 6-4,5,R64,103,9,2,81,51,42,17,15,1,2,1,4,95,51,30,24,14,6,10,2014-05-26,#aeb7c6,723.14,124.05,723.14,575.95,5.5,Early Rounds,Win,Diego Sebastian Schwartzman,313
2014-520,Roland Garros,Clay,128,G,20140526,108,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,104098,31,,Dmitry Tursunov,R,185,RUS,31.4524298426,32,1155,7-5 6-7(7) 6-2 6-4,5,R32,187,15,1,120,81,65,27,21,2,2,6,5,159,98,67,31,21,17,21,2014-05-26,#aeb7c6,852.70,57.36,852.70,642.64,5.5,Early Rounds,Win,Dmitry Tursunov,314
2014-520,Roland Garros,Clay,128,G,20140526,118,105208,18,,Ernests Gulbis,R,190,LAT,25.735797399,17,2050,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,6-7(5) 7-6(3) 6-2 4-6 6-3,5,R16,222,13,4,154,93,65,37,26,2,7,7,3,161,102,70,30,25,5,12,2014-05-26,#49b6c2,655.58,216.53,655.58,483.47,7.2,R16 / Quarter-Final,Loss,Ernests Gulbis,315
2014-540,Wimbledon,Grass,128,G,20140623,48,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,103893,,,Paolo Lorenzi,R,183,ITA,32.5201916496,83,653,6-1 6-1 6-3,5,R128,93,9,1,69,48,37,15,12,5,5,4,3,98,49,30,17,11,17,23,2014-06-23,#aeb7c6,860.07,83.41,860.07,616.59,5.5,Early Rounds,Win,Paolo Lorenzi,316
2014-540,Wimbledon,Grass,128,G,20140623,88,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,104180,,Q,Gilles Muller,L,193,LUX,31.1238877481,103,555,6-3 7-5 6-3,5,R64,94,25,1,69,53,48,12,15,0,0,12,5,92,62,46,11,15,2,6,2014-06-23,#aeb7c6,860.88,109.06,860.88,590.94,5.5,Early Rounds,Win,Gilles Muller,317
2014-540,Wimbledon,Grass,128,G,20140623,108,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,105053,,,Santiago Giraldo,R,188,COL,26.5708418891,35,1118,6-3 6-1 6-3,5,R32,81,8,1,73,50,42,12,13,2,2,0,4,85,61,37,8,12,4,9,2014-06-23,#aeb7c6,850.87,133.59,850.87,566.41,5.5,Early Rounds,Win,Santiago Giraldo,318
2014-540,Wimbledon,Grass,128,G,20140623,118,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,103990,23,,Tommy Robredo,R,180,ESP,32.1451060917,22,1630,6-1 6-4 6-4,5,R16,94,11,0,75,42,37,24,14,1,1,3,1,87,61,36,13,13,9,13,2014-06-23,#49b6c2,503.29,204.55,503.29,495.45,7.2,R16 / Quarter-Final,Win,Tommy Robredo,319
2014-540,Wimbledon,Grass,128,G,20140623,123,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,104527,5,,Stanislas Wawrinka,R,183,SUI,29.2375085558,3,5420,3-6 7-6(5) 6-4 6-4,5,QF,153,10,1,119,77,61,29,20,3,4,9,1,124,74,57,31,21,5,7,2014-06-23,#49b6c2,487.05,155.78,487.05,544.22,7.2,R16 / Quarter-Final,Win,Stanislas Wawrinka,320
2014-540,Wimbledon,Grass,128,G,20140623,126,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,105683,8,,Milos Raonic,R,196,CAN,23.4880219028,9,3245,6-4 6-4 6-4,5,SF,101,6,1,80,52,42,19,15,1,1,17,4,84,46,37,19,15,4,7,2014-06-23,#a56bc5,267.26,116.23,267.26,583.77,9,Semi-Final / Final,Win,Milos Raonic,321
2014-540,Wimbledon,Grass,128,G,20140623,127,104925,1,,Novak Djokovic,R,188,SRB,27.0882956879,2,12330,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,6-7(7) 6-4 7-6(4) 5-7 6-4,5,F,236,13,3,174,108,79,43,28,4,7,29,5,192,133,102,26,28,11,15,2014-06-23,#a56bc5,303.32,32.02,303.32,667.98,9,Semi-Final / Final,Loss,Novak Djokovic,322
2014-560,US Open,Hard,128,G,20140825,64,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,104594,,,Marinko Matosevic,R,194,AUS,29.0458590007,76,682,6-3 6-4 7-6(4),5,R128,127,10,1,87,60,53,15,16,2,3,4,4,120,71,44,26,15,11,14,2014-08-25,#aeb7c6,834.00,157.97,834.00,542.03,5.5,Early Rounds,Win,Marinko Matosevic,323
2014-560,US Open,Hard,128,G,20140825,96,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,105032,,,Samuel Groth,R,,AUS,26.8501026694,104,571,6-4 6-4 6-4,5,R64,108,9,4,79,49,41,15,15,0,2,9,8,109,69,41,20,15,6,11,2014-08-25,#aeb7c6,816.60,179.80,816.60,520.20,5.5,Early Rounds,Win,Samuel Groth,324
2014-560,US Open,Hard,128,G,20140825,112,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,104719,,,Marcel Granollers,R,190,ESP,28.3696098563,42,1010,4-6 6-1 6-1 6-1,5,R32,118,12,0,93,58,41,20,15,6,8,5,3,99,56,30,18,16,11,20,2014-08-25,#aeb7c6,797.36,201.18,797.36,498.82,5.5,Early Rounds,Win,Marcel Granollers,325
2014-560,US Open,Hard,128,G,20140825,120,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,105138,17,,Roberto Bautista Agut,R,,ESP,26.3627652293,19,1800,6-4 6-3 6-2,5,R16,116,8,5,87,51,39,19,13,6,7,2,4,102,65,38,15,14,7,13,2014-08-25,#49b6c2,598.78,84.89,598.78,615.11,7.2,R16 / Quarter-Final,Win,Roberto Bautista Agut,326
2014-560,US Open,Hard,128,G,20140825,124,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,104792,20,,Gael Monfils,R,193,FRA,27.9808350445,24,1530,4-6 3-6 6-4 7-5 6-2,5,QF,200,5,2,151,86,65,37,25,10,15,6,9,157,99,65,29,24,7,13,2014-08-25,#49b6c2,437.73,143.02,437.73,556.98,7.2,R16 / Quarter-Final,Win,Gael Monfils,327
2014-560,US Open,Hard,128,G,20140825,126,105227,14,,Marin Cilic,R,198,CRO,25.9055441478,16,1845,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,6-3 6-4 6-4,5,SF,105,13,1,81,45,39,20,15,1,2,12,1,84,52,36,16,14,4,8,2014-08-25,#a56bc5,193.07,35.53,193.07,664.47,9,Semi-Final / Final,Loss,Marin Cilic,328
2015-580,Australian Open,Hard,128,G,20150119,64,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,104229,,,Yen Hsun Lu,R,180,TPE,31.4332648871,47,888,6-4 6-2 7-5,5,R128,113,9,3,83,56,48,17,15,4,4,1,2,97,57,35,22,15,10,14,2015-01-19,#aeb7c6,776.51,224.17,776.51,475.83,5.5,Early Rounds,Win,Yen Hsun Lu,329
2015-580,Australian Open,Hard,128,G,20150119,96,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,104620,,,Simone Bolelli,R,183,ITA,29.2813141684,48,864,3-6 6-3 6-2 6-2,5,R64,129,16,0,92,64,50,20,17,0,1,8,3,109,57,36,28,17,6,11,2015-01-19,#aeb7c6,752.56,240.45,752.56,459.55,5.5,Early Rounds,Win,Simone Bolelli,330
2015-580,Australian Open,Hard,128,G,20150119,112,104312,,,Andreas Seppi,R,190,ITA,30.9103353867,46,915,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,6-4 7-6(5) 4-6 7-6(5),5,R32,177,4,4,151,86,67,32,22,7,10,15,9,138,82,66,27,22,2,5,2015-01-19,#aeb7c6,728.14,259.40,728.14,440.60,5.5,Early Rounds,Loss,Andreas Seppi,331
2015-520,Roland Garros,Clay,128,G,20150524,64,103819,2,,Roger Federer,R,185,SUI,33.7932922656,2,9235,104268,,LL,Alejandro Falla,L,185,COL,31.5263518138,109,485,6-3 6-3 6-4,5,R128,110,8,0,81,58,45,15,14,2,2,2,4,109,74,48,16,14,12,16,2015-05-24,#aeb7c6,700.36,274.88,700.36,425.12,5.5,Early Rounds,Win,Alejandro Falla,332
2015-520,Roland Garros,Clay,128,G,20150524,96,103819,2,,Roger Federer,R,185,SUI,33.7932922656,2,9235,104719,,,Marcel Granollers,R,190,ESP,29.1170431211,57,845,6-2 7-6(1) 6-3,5,R64,107,3,0,77,49,40,20,15,1,3,2,3,94,62,38,14,14,3,8,2015-05-24,#aeb7c6,673.11,286.91,673.11,413.09,5.5,Early Rounds,Win,Marcel Granollers,333
2015-520,Roland Garros,Clay,128,G,20150524,112,103819,2,,Roger Federer,R,185,SUI,33.7932922656,2,9235,106000,,,Damir Dzumhur,R,172,BIH,23.0116358658,88,601,6-4 6-3 6-2,5,R32,88,4,1,82,53,36,19,13,4,5,3,2,81,57,32,12,14,2,8,2015-05-24,#aeb7c6,645.85,300.53,645.85,399.47,5.5,Early Rounds,Win,Damir Dzumhur,334
2015-520,Roland Garros,Clay,128,G,20150524,120,103819,2,,Roger Federer,R,185,SUI,33.7932922656,2,9235,104792,13,,Gael Monfils,R,193,FRA,28.7282683094,14,2065,6-3 4-6 6-4 6-1,5,R16,130,2,1,100,61,45,25,18,2,4,6,4,122,76,47,21,18,7,13,2015-05-24,#49b6c2,431.87,326.90,431.87,373.10,7.2,R16 / Quarter-Final,Win,Gael Monfils,335
2015-520,Roland Garros,Clay,128,G,20150524,124,104527,8,,Stanislas Wawrinka,R,183,SUI,30.1574264203,9,3845,103819,2,,Roger Federer,R,185,SUI,33.7932922656,2,9235,6-4 6-3 7-6(4),5,QF,129,4,0,92,50,44,26,15,4,4,7,0,112,71,48,23,16,5,8,2015-05-24,#49b6c2,395.69,163.29,395.69,536.71,7.2,R16 / Quarter-Final,Loss,Stanislas Wawrinka,336
2015-540,Wimbledon,Grass,128,G,20150629,64,103819,2,,Roger Federer,R,185,SUI,33.8891170431,2,9665,106000,,,Damir Dzumhur,R,172,BIH,23.1074606434,88,593,6-1 6-3 6-3,5,R128,,6,0,64,41,35,17,13,0,0,2,8,69,41,27,8,12,5,10,2015-06-29,#aeb7c6,684.74,310.08,684.74,389.92,5.5,Early Rounds,Win,Damir Dzumhur,337
2015-540,Wimbledon,Grass,128,G,20150629,96,103819,2,,Roger Federer,R,185,SUI,33.8891170431,2,9665,105023,,,Sam Querrey,R,198,USA,27.7262149213,36,1140,6-4 6-2 6-2,5,R64,,6,2,77,47,37,19,13,2,2,7,2,79,45,32,15,13,7,12,2015-06-29,#aeb7c6,655.76,321.38,655.76,378.62,5.5,Early Rounds,Win,Sam Querrey,338
2015-540,Wimbledon,Grass,128,G,20150629,112,103819,2,,Roger Federer,R,185,SUI,33.8891170431,2,9665,105032,,,Samuel Groth,R,,AUS,27.6933607118,69,743,6-4 6-4 6-7(5) 6-2,5,R32,,17,1,108,67,60,28,20,0,0,21,4,130,84,61,24,20,4,8,2015-06-29,#aeb7c6,636.52,332.94,636.52,367.06,5.5,Early Rounds,Win,Samuel Groth,339
2015-540,Wimbledon,Grass,128,G,20150629,120,103819,2,,Roger Federer,R,185,SUI,33.8891170431,2,9665,105138,20,,Roberto Bautista Agut,R,,ESP,27.2060232717,22,1545,6-2 6-2 6-3,5,R16,,7,0,56,38,35,13,12,0,0,2,0,84,56,30,15,13,7,13,2015-06-29,#49b6c2,383.64,32.51,383.64,667.49,7.2,R16 / Quarter-Final,Win,Roberto Bautista Agut,340
2015-540,Wimbledon,Grass,128,G,20150629,124,103819,2,,Roger Federer,R,185,SUI,33.8891170431,2,9665,104468,12,,Gilles Simon,R,183,FRA,30.5023956194,13,2435,6-3 7-5 6-2,5,QF,,11,1,75,55,44,12,15,0,1,1,2,83,48,29,19,14,3,8,2015-06-29,#49b6c2,624.70,32.65,624.70,667.35,7.2,R16 / Quarter-Final,Win,Gilles Simon,341
2015-540,Wimbledon,Grass,128,G,20150629,126,103819,2,,Roger Federer,R,185,SUI,33.8891170431,2,9665,104918,3,,Andy Murray,R,190,GBR,28.1232032854,3,7450,7-5 7-5 6-4,5,SF,,20,1,91,69,58,12,17,1,1,12,1,107,79,56,14,17,7,10,2015-06-29,#a56bc5,533.24,51.69,533.24,648.31,9,Semi-Final / Final,Win,Andy Murray,342
2015-540,Wimbledon,Grass,128,G,20150629,127,104925,1,,Novak Djokovic,R,188,SRB,28.1040383299,1,13845,103819,2,,Roger Federer,R,185,SUI,33.8891170431,2,9665,7-6(1) 6-7(10) 6-4 6-3,5,F,,13,1,145,95,70,30,21,6,7,14,3,141,94,70,23,22,6,10,2015-06-29,#a56bc5,472.05,425.66,472.05,274.34,9,Semi-Final / Final,Loss,Novak Djokovic,343
2015-560,US Open,Hard,128,G,20150831,64,103819,2,,Roger Federer,R,185,SUI,34.0616016427,2,9065,104919,,,Leonardo Mayer,R,188,ARG,28.295687885,34,1140,6-1 6-2 6-2,5,R128,,11,5,66,43,36,14,12,1,1,1,7,70,40,21,14,11,3,9,2015-08-31,#aeb7c6,543.76,266.06,543.76,433.94,5.5,Early Rounds,Win,Leonardo Mayer,344
2015-560,US Open,Hard,128,G,20150831,96,103819,2,,Roger Federer,R,185,SUI,34.0616016427,2,9065,104327,,,Steve Darcis,R,178,BEL,31.4661190965,66,750,6-1 6-2 6-1,5,R64,,12,1,61,43,37,10,11,1,1,2,2,80,43,23,15,11,12,19,2015-08-31,#aeb7c6,446.71,345.87,446.71,354.13,5.5,Early Rounds,Win,Steve Darcis,345
2015-560,US Open,Hard,128,G,20150831,112,103819,2,,Roger Federer,R,185,SUI,34.0616016427,2,9065,104259,29,,Philipp Kohlschreiber,R,178,GER,31.8740588638,29,1230,6-3 6-4 6-4,5,R32,,5,4,83,50,36,18,15,2,4,1,5,72,44,31,15,14,3,8,2015-08-31,#aeb7c6,619.79,340.84,619.79,359.16,5.5,Early Rounds,Win,Philipp Kohlschreiber,346
2015-560,US Open,Hard,128,G,20150831,120,103819,2,,Roger Federer,R,185,SUI,34.0616016427,2,9065,104545,13,,John Isner,R,206,USA,30.3463381246,13,2235,7-6(0) 7-6(6) 7-5,5,R16,,13,1,111,65,54,33,18,5,5,17,1,133,91,63,22,18,9,10,2015-08-31,#49b6c2,409.41,267.59,409.41,432.41,7.2,R16 / Quarter-Final,Win,John Isner,347
2015-560,US Open,Hard,128,G,20150831,124,103819,2,,Roger Federer,R,185,SUI,34.0616016427,2,9065,104755,12,,Richard Gasquet,R,185,FRA,29.2019164956,12,2240,6-3 6-3 6-1,5,QF,,16,2,70,53,46,8,13,0,0,1,2,73,44,27,12,12,8,13,2015-08-31,#49b6c2,347.96,616.65,347.96,83.35,7.2,R16 / Quarter-Final,Win,Richard Gasquet,348
2015-560,US Open,Hard,128,G,20150831,126,103819,2,,Roger Federer,R,185,SUI,34.0616016427,2,9065,104527,5,,Stanislas Wawrinka,R,183,SUI,30.4257357974,5,5710,6-4 6-3 6-1,5,SF,,10,2,77,50,40,17,13,4,4,6,1,78,38,22,20,13,6,11,2015-08-31,#a56bc5,518.97,599.40,518.97,100.60,9,Semi-Final / Final,Win,Stanislas Wawrinka,349
2015-560,US Open,Hard,128,G,20150831,127,104925,1,,Novak Djokovic,R,188,SRB,28.2765229295,1,14865,103819,2,,Roger Federer,R,185,SUI,34.0616016427,2,9065,6-4 5-7 6-4 6-4,5,F,,3,5,155,96,63,32,21,19,23,11,5,137,87,62,23,21,7,13,2015-08-31,#a56bc5,665.05,33.41,665.05,666.59,9,Semi-Final / Final,Loss,Novak Djokovic,350
2016-580,Australian Open,Hard,128,G,20160118,116,103819,3,,Roger Federer,R,185,SUI,34.4449007529,3,8165,105932,,,Nikoloz Basilashvili,R,,RUS,23.9014373717,118,493,6-2 6-1 6-2,5,R128,72,6,3,56,36,33,9,12,0,1,2,5,68,44,23,7,11,6,14,2016-01-18,#aeb7c6,402.29,459.57,402.29,240.43,5.5,Early Rounds,Win,Nikoloz Basilashvili,351
2016-580,Australian Open,Hard,128,G,20160118,172,103819,3,,Roger Federer,R,185,SUI,34.4449007529,3,8165,105238,,,Alexandr Dolgopolov,R,180,UKR,27.1950718686,35,1160,6-3 7-5 6-1,5,R64,93,25,2,72,49,43,13,14,0,0,3,7,97,55,35,18,14,8,13,2016-01-18,#aeb7c6,396.88,482.06,396.88,217.94,5.5,Early Rounds,Win,Alexandr Dolgopolov,352
2016-580,Australian Open,Hard,128,G,20160118,200,103819,3,,Roger Federer,R,185,SUI,34.4449007529,3,8165,105777,27,,Grigor Dimitrov,R,188,BUL,24.6762491444,28,1420,6-4 3-6 6-1 6-4,5,R32,160,13,5,112,69,52,24,18,5,6,8,3,126,76,48,27,18,11,15,2016-01-18,#aeb7c6,391.47,500.11,391.47,199.89,5.5,Early Rounds,Win,Grigor Dimitrov,353
2016-580,Australian Open,Hard,128,G,20160118,214,103819,3,,Roger Federer,R,185,SUI,34.4449007529,3,8165,105676,15,,David Goffin,R,163,BEL,25.1143052704,16,1835,6-2 6-1 6-4,5,R16,88,7,1,67,42,36,16,13,0,1,5,2,83,55,36,8,12,7,13,2016-01-18,#49b6c2,264.88,58.31,264.88,641.69,7.2,R16 / Quarter-Final,Win,David Goffin,354
2016-580,Australian Open,Hard,128,G,20160118,221,103819,3,,Roger Federer,R,185,SUI,34.4449007529,3,8165,104607,6,,Tomas Berdych,R,196,CZE,30.3353867214,6,4560,7-6 6-2 6-4,5,QF,136,9,3,87,60,50,13,16,4,6,9,5,111,60,41,24,15,5,10,2016-01-18,#49b6c2,234.33,145.63,234.33,554.37,7.2,R16 / Quarter-Final,Win,Tomas Berdych,355
2016-580,Australian Open,Hard,128,G,20160118,224,104925,1,,Novak Djokovic,R,188,SRB,28.6598220397,1,16790,103819,3,,Roger Federer,R,185,SUI,34.4449007529,3,8165,6-1 6-2 3-6 6-3,5,SF,139,10,1,97,65,50,21,17,3,4,5,1,100,57,35,21,16,4,9,2016-01-18,#a56bc5,423.22,453.39,423.22,246.61,9,Semi-Final / Final,Loss,Novak Djokovic,356
2016-540,Wimbledon,Grass,128,G,20160627,116,103819,3,,Roger Federer,R,185,SUI,34.8856947296,3,6425,105550,,,Guido Pella,L,,ARG,26.1136208077,52,919,7-6(5) 7-6(3) 6-3,5,R128,125,12,0,94,60,53,23,17,0,0,5,1,119,75,50,27,16,8,9,2016-06-27,#aeb7c6,390.00,518.73,390.00,181.27,5.5,Early Rounds,Win,Guido Pella,357
2016-540,Wimbledon,Grass,128,G,20160627,172,103819,3,,Roger Federer,R,185,SUI,34.8856947296,3,6425,105650,,,Marcus Willis,L,,GBR,25.7166324435,772,26,6-0 6-3 6-4,5,R64,84,9,0,73,45,35,19,13,2,2,9,3,83,50,32,14,12,7,12,2016-06-27,#aeb7c6,390.00,537.56,390.00,162.44,5.5,Early Rounds,Win,Marcus Willis,358
2016-540,Wimbledon,Grass,128,G,20160627,200,103819,3,,Roger Federer,R,185,SUI,34.8856947296,3,6425,105554,,,Daniel Evans,R,175,GBR,26.0971937029,91,648,6-4 6-2 6-2,5,R32,86,11,0,67,45,40,11,13,1,2,0,8,94,54,26,21,13,9,15,2016-06-27,#aeb7c6,390.00,556.40,390.00,143.60,5.5,Early Rounds,Win,Daniel Evans,359
2016-540,Wimbledon,Grass,128,G,20160627,214,103819,3,,Roger Federer,R,185,SUI,34.8856947296,3,6425,105449,,,Steve Johnson,R,188,USA,26.507871321,29,1385,6-2 6-3 7-5,5,R16,96,6,2,83,55,41,20,15,3,4,8,3,101,65,40,15,14,5,10,2016-06-27,#49b6c2,470.71,352.73,470.71,347.27,7.2,R16 / Quarter-Final,Win,Steve Johnson,360
2016-540,Wimbledon,Grass,128,G,20160627,221,103819,3,,Roger Federer,R,185,SUI,34.8856947296,3,6425,105227,9,,Marin Cilic,R,198,CRO,27.7453798768,13,2695,6-7(4) 4-6 6-3 7-6(9) 6-3,5,QF,197,27,0,169,106,84,37,26,7,8,23,7,163,93,76,38,26,7,9,2016-06-27,#49b6c2,404.55,299.71,404.55,400.29,7.2,R16 / Quarter-Final,Win,Marin Cilic,361
2016-540,Wimbledon,Grass,128,G,20160627,224,105683,6,,Milos Raonic,R,196,CAN,25.5003422313,7,3175,103819,3,,Roger Federer,R,185,SUI,34.8856947296,3,6425,6-3 6-7(3) 4-6 7-5 6-3,5,SF,204,23,11,167,113,94,25,26,8,9,16,5,160,98,80,32,26,5,8,2016-06-27,#a56bc5,412.90,59.68,412.90,640.32,9,Semi-Final / Final,Loss,Milos Raonic,362
2017-580,Australian Open,Hard,128,G,20170116,111,103819,17,,Roger Federer,R,185,SUI,35.4,17,1980,103781,,Q,Jurgen Melzer,L,183,AUT,35.6,300,164,7-5 3-6 6-2 6-2,5,R128,125,19,1,103,66,51,20,19,1,4,4,1,111,83,47,15,18,2,9,2017-01-16,#aeb7c6,371.33,564.25,371.33,135.75,5.5,Early Rounds,Win,Jurgen Melzer,363
2017-580,Australian Open,Hard,128,G,20170116,169,103819,17,,Roger Federer,R,185,SUI,35.4,17,1980,111511,,Q,Noah Rubin,R,175,USA,20.9,200,274,7-5 6-3 7-6(3),5,R64,123,17,2,112,67,55,25,17,5,6,2,3,102,57,36,28,16,5,8,2017-01-16,#aeb7c6,350.46,569.91,350.46,130.09,5.5,Early Rounds,Win,Noah Rubin,364
2017-580,Australian Open,Hard,128,G,20170116,198,103819,17,,Roger Federer,R,185,SUI,35.4,17,1980,104607,10,,Tomas Berdych,R,196,CZE,31.3,10,3060,6-2 6-4 6-4,5,R32,90,8,2,70,41,39,17,14,0,0,13,3,81,51,43,9,14,1,5,2017-01-16,#aeb7c6,375.11,615.45,375.11,84.55,5.5,Early Rounds,Win,Tomas Berdych,365
2017-580,Australian Open,Hard,128,G,20170116,213,103819,17,,Roger Federer,R,185,SUI,35.4,17,1980,105453,5,,Kei Nishikori,R,178,JPN,27,5,5010,6-7(4) 6-4 6-1 4-6 6-3,5,R16,203,24,6,148,100,80,23,24,7,10,5,5,164,107,73,24,24,11,18,2017-01-16,#49b6c2,262.91,31.55,262.91,668.45,7.2,R16 / Quarter-Final,Win,Kei Nishikori,366
2017-580,Australian Open,Hard,128,G,20170116,220,103819,17,,Roger Federer,R,185,SUI,35.4,17,1980,104999,,,Mischa Zverev,L,190,GER,29.4,50,894,6-1 7-5 6-2,5,QF,92,9,1,79,54,37,17,14,1,2,5,0,97,72,38,13,13,9,15,2017-01-16,#49b6c2,417.02,485.83,417.02,214.17,7.2,R16 / Quarter-Final,Win,Mischa Zverev,367
2017-580,Australian Open,Hard,128,G,20170116,224,103819,17,,Roger Federer,R,185,SUI,35.4,17,1980,104527,4,,Stan Wawrinka,R,183,SUI,31.8,4,5155,7-5 6-3 1-6 4-6 6-3,5,SF,184,11,3,143,86,62,33,24,8,12,10,2,135,89,56,32,23,5,9,2017-01-16,#a56bc5,560.20,241.31,560.20,458.69,9,Semi-Final / Final,Win,Stan Wawrinka,368
2017-580,Australian Open,Hard,128,G,20170116,226,103819,17,,Roger Federer,R,185,SUI,35.4,17,1980,104745,9,,Rafael Nadal,L,185,ESP,30.6,9,3195,6-4 3-6 6-1 3-6 6-3,5,F,217,20,3,138,85,65,26,22,13,17,4,3,151,110,69,23,22,14,20,2017-01-16,#f1c34a,231.14,114.99,231.14,585.01,11,Title Win,Win,Rafael Nadal,369
2017-540,Wimbledon,Grass,128,G,20170703,147,103819,3,,Roger Federer,R,185,SUI,35.9,5,5265,105238,,,Alexandr Dolgopolov,R,180,UKR,28.6,84,631,6-3 3-0 RET,5,R128,42,10,1,36,27,21,4,6,0,0,2,4,50,23,13,12,6,6,9,2017-07-03,#aeb7c6,496.74,627.37,496.74,72.63,5.5,Early Rounds,Win,Alexandr Dolgopolov,370
2017-540,Wimbledon,Grass,128,G,20170703,187,103819,3,,Roger Federer,R,185,SUI,35.9,5,5265,105583,,,Dusan Lajovic,R,183,SRB,27,79,661,7-6(0) 6-3 6-2,5,R64,90,9,2,78,47,38,25,15,3,4,3,3,87,56,32,20,14,7,11,2017-07-03,#aeb7c6,329.65,571.56,329.65,128.44,5.5,Early Rounds,Win,Dusan Lajovic,371
2017-540,Wimbledon,Grass,128,G,20170703,207,103819,3,,Roger Federer,R,185,SUI,35.9,5,5265,104999,27,,Mischa Zverev,L,190,GER,29.8,30,1396,7-6(3) 6-4 6-4,5,R32,109,13,1,88,53,44,25,16,1,2,6,4,102,63,45,20,16,3,6,2017-07-03,#aeb7c6,494.37,456.23,494.37,243.77,5.5,Early Rounds,Win,Mischa Zverev,372
2017-540,Wimbledon,Grass,128,G,20170703,217,103819,3,,Roger Federer,R,185,SUI,35.9,5,5265,105777,13,,Grigor Dimitrov,R,191,BUL,26.1,11,3070,6-4 6-2 6-4,5,R16,97,8,0,75,52,39,17,14,2,3,7,7,91,57,37,15,14,5,10,2017-07-03,#49b6c2,410.77,543.19,410.77,156.81,7.2,R16 / Quarter-Final,Win,Grigor Dimitrov,373
2017-540,Wimbledon,Grass,128,G,20170703,222,103819,3,,Roger Federer,R,185,SUI,35.9,5,5265,105683,6,,Milos Raonic,R,196,CAN,26.5,7,4150,6-4 6-2 7-6(4),5,QF,117,11,2,89,61,55,15,15,5,5,11,0,96,70,50,11,15,3,6,2017-07-03,#49b6c2,443.12,474.79,443.12,225.21,7.2,R16 / Quarter-Final,Win,Milos Raonic,374
2017-540,Wimbledon,Grass,128,G,20170703,225,103819,3,,Roger Federer,R,185,SUI,35.9,5,5265,104607,11,,Tomas Berdych,R,196,CZE,31.7,15,2570,7-6(4) 7-6(4) 6-4,5,SF,138,13,4,105,70,59,21,17,5,6,9,0,128,79,54,28,17,7,9,2017-07-03,#a56bc5,420.48,649.47,420.48,50.53,9,Semi-Final / Final,Win,Tomas Berdych,375
2017-540,Wimbledon,Grass,128,G,20170703,226,103819,3,,Roger Federer,R,185,SUI,35.9,5,5265,105227,7,,Marin Cilic,R,198,CRO,28.7,6,4235,6-3 6-1 6-4,5,F,101,8,2,70,53,43,12,13,1,1,5,3,90,54,35,14,13,5,10,2017-07-03,#f1c34a,359.19,645.54,359.19,54.46,11,Title Win,Win,Marin Cilic,376
